what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1250269597803
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1250269598224
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.RunToLine,1250269606756
executed,command,,,AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.ManageBreakpointRulerAction,1250269613458
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.RunToLine,1250269617499
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1250269619283
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepInto,1250269619751
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1250269622836
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1250269623566
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1250269624129
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250269628758
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250269668443
activated,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugView,1250269675699
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1250269675758
closed,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.MemoryView,1250269675873
closed,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.RegisterView,1250269675890
closed,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.ModuleView,1250269675903
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1250269677781
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.DebugLast,1250269681010
opened,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.MemoryView,1250269682339
opened,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.RegisterView,1250269682393
opened,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.ModuleView,1250269682456
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1250269682661
activated,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugView,1250269687462
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.Resume,1250269687486
