what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688291969
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688293322
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1299688294580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688294897
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688305589
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1299688305990
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688306889
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688331218
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1299688333188
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688333936
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688390627
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1299688391108
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1299688393315
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1299688393763
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1299688401446
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1299688402629
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1299688404205
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1299688404675
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688404703
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1299688404899
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688406705
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1299688407507
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1299688407763
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1299688408106
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1299688408382
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1299688408487
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1299688408948
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688409889
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688414559
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1299688416527
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1299688416900
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688432626
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688435757
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1299688436005
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299688436798
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1299688436971
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1299688437084
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299688437117
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1299688437988
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688438554
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688441716
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1299688442516
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1299688442676
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1299688442936
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1299688443079
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1299688443475
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688444419
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1299688446305
