-i	  0.0   	Cell 0  (0,0)	3.546915850584482	
-i	  0.1   	Cell 0  (0,0)	3.546915850584482	
-i	  0.2   	Cell 0  (0,0)	1.488251356374745	
-i	  0.3   	Cell 0  (0,0)	0.101541475667478	
-i	  0.4   	Cell 0  (0,0)	0.005481631484847	
-i	  0.5   	Cell 0  (0,0)	0.000411439285600	
-i	  0.6   	Cell 0  (0,0)	0.000004499402313	
-i	  0.7   	Cell 0  (0,0)	0.000000013931590	
-i	  0.8   	Cell 0  (0,0)	0.000000013931590	
-i	  0.9   	Cell 0  (0,0)	0.000000013931590	
-i	  0.10  	Cell 0  (0,0)	0.000000013931590	
-i	  0.11  	Cell 0  (0,0)	0.000000013931590	
-i	  0.12  	Cell 0  (0,0)	0.000000013931590	
-i	  0.13  	Cell 0  (0,0)	0.000000013931590	
-i	  0.14  	Cell 0  (0,0)	0.000000013931590	
-i	  0.15  	Cell 0  (0,0)	0.000000013931590	
-i	  0.16  	Cell 0  (0,0)	0.000000013931590	
-i	  0.17  	Cell 0  (0,0)	0.000000013931590	
-i	  0.18  	Cell 0  (0,0)	0.000000013931590	
-i	  0.19  	Cell 0  (0,0)	0.000000013931590	
-i	  0.20  	Cell 0  (0,0)	0.000000013931590	
-i	  0.21  	Cell 0  (0,0)	0.000000013931590	
-i	  0.22  	Cell 0  (0,0)	0.000000013931590	
-i	  0.23  	Cell 0  (0,0)	0.000000013931590	
-i	  0.24  	Cell 0  (0,0)	0.000000013931590	
-i	  0.25  	Cell 0  (0,0)	0.000000013931590	
-i	  0.26  	Cell 0  (0,0)	0.000000013931590	
-i	  0.27  	Cell 0  (0,0)	0.000000013931590	
-i	  0.28  	Cell 0  (0,0)	0.000000013931590	
-i	  0.29  	Cell 0  (0,0)	0.000000013931590	
-i	  0.30  	Cell 0  (0,0)	0.000000013931590
