what,kind,bundleId,bundleVersion,description,time
closed,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.RegisterView,1250119131484
closed,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.ModuleView,1250119131497
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1250119132561
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250119133603
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250119144403
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250119145197
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250119466864
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250119468494
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250119588672
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.DebugLast,1250119591971
opened,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.MemoryView,1250119593341
opened,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.RegisterView,1250119593396
opened,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.ModuleView,1250119593461
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1250119593583
activated,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugView,1250119596805
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.StepOver,1250119596841
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250119604125
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250119631904
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.Terminate,1250119633650
closed,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.MemoryView,1250119633738
closed,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.RegisterView,1250119633755
closed,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.ModuleView,1250119633768
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1250119634643
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250119635473
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1250120369585
